,tag,sample.number,partner.sample,substrate,site,species,rh,dbh,growth.per.yr,elevation,latitude,longitude,L.C,L.N,L.P,K.P,L.S,L.Ca,L.Mg,L.Mn,L.Cu,L.Zn,L.B,L.Mo,L.Na,L.Fe,moist,rocks,C,N,OM.new,CN.ratio,NO3,pH,P,K,Mn,Cu,Zn,Fe,B,Ca,Mg,CEC
G3,6089,219,93,soil,rs23,tabr,60,7.4,0,1020,44.227,122.123,49.857,0.948,0.081861575,0.020190931,0.096,0.475369928,0.113556086,506.4439141,3.818615752,28.63961814,10.02386635,0.477326969,78.28162291,58.71121718,88.88888889,7.698168122,8.722,0.292,17.444,29.86986301,0.72452381,4.81,24.09090909,39.45454545,23.45454545,0.636363636,2,158,0.520231214,0.807272727,0.240909091,1.149347319
G5,434,249,na,soil,rs23,tabr,60,7,0.076625874,1020,44.227,122.123,na,na,na,na,na,na,na,na,na,na,na,na,na,na,94.74835886,6.294406619,10.111,0.347,20.222,29.13832853,0.134700948,5.77,28.7826087,56.43478261,20.34782609,0.695652174,1.130434783,118.6086957,0.581655481,0.813043478,0.313768116,1.271516165
G9,3523,301,45,soil,rs23,psme,60,108.5,0.102167832,1020,44.227,122.123,na,na,0.081351351,0.15527027,na,0.146351351,0.070675676,234.4594595,17.56756757,8.783783784,6.081081081,0.675675676,140.5405405,86.48648649,320.1680672,0,49.627,0.928,99.254,53.47737069,3.418901807,4.15,39.4,168,51.6,1,5.9,71.4,2.018348624,3.4115,0.791666667,4.633935897
H3,3396,218,116,soil,rs23,tabr,60,28,0,1020,44.227,122.123,48.998,0.846,0.095889749,0.273887814,0.085,0.242940039,0.081914894,311.4119923,2.901353965,34.33268859,6.769825919,na,56.57640232,28.04642166,125,23.72231013,18.649,0.345,37.298,54.05507246,0.5925,5.62,50.9,45.6,34.8,1,3.2,185.9,0.669144981,1.419,0.455833333,1.99175641
H9,3529,300,23,soil,rs23,psme,60,95.3,0.076625874,1020,44.227,122.123,46.899,0.894,0.242102689,0.382347188,0.138,0.329388753,0.096185819,453.3007335,2.93398533,18.09290954,8.80195599,0.488997555,181.9070905,61.12469438,257.7981651,7.472999652,39.809,0.932,79.618,42.71351931,3.503440367,4.25,39.61904762,189.047619,24.66666667,1.619047619,6.666666667,213.9047619,1.621621622,3.211904762,0.80952381,4.506166056
Needles-A4,6520,57,261,needle,rs23,psme,60,NA,NA,1020,NA,NA,46.852,0.824,0.212572254,0.268593449,0.123,0.616859345,0.070953757,596.8208092,3.853564547,13.96917148,7.225433526,0.481695568,106.4547206,53.94990366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Needles-B6,3536,86,215,needle,rs23,psme,60,123.6,0.178793706,1020,44.227,122.123,47.326,0.835,0.135690073,0.225084746,0.156,0.40062954,0.075883777,176.7554479,3.87409201,10.65375303,1.937046005,0,74.09200969,26.15012107,142.1052632,7.061403509,15.721,0.445,31.442,35.32808989,3.171237954,5.4,48,112.0952381,20.19047619,1.333333333,3.523809524,219.4285714,0.677290837,1.9,0.485714286,2.673137973
Needles-C9,3396,116,218,needle,rs23,tabr,60,28,0,1020,44.227,122.123,48.998,0.846,0.095889749,0.273887814,0.085,0.242940039,0.081914894,311.4119923,2.901353965,34.33268859,6.769825919,na,56.57640232,28.04642166,125,23.72231013,18.649,0.345,37.298,54.05507246,0.5925,5.62,50.9,45.6,34.8,1,3.2,185.9,0.669144981,1.419,0.455833333,1.99175641
Needles-D7,6089,93,219,needle,rs23,tabr,60,7.4,0,1020,44.227,122.123,49.857,0.948,0.081861575,0.020190931,0.096,0.475369928,0.113556086,506.4439141,3.818615752,28.63961814,10.02386635,0.477326969,78.28162291,58.71121718,88.88888889,7.698168122,8.722,0.292,17.444,29.86986301,0.72452381,4.81,24.09090909,39.45454545,23.45454545,0.636363636,2,158,0.520231214,0.807272727,0.240909091,1.149347319
Needles-F2,3529,23,300,needle,rs23,psme,60,95.3,0.076625874,1020,44.227,122.123,46.899,0.894,0.242102689,0.382347188,0.138,0.329388753,0.096185819,453.3007335,2.93398533,18.09290954,8.80195599,0.488997555,181.9070905,61.12469438,257.7981651,7.472999652,39.809,0.932,79.618,42.71351931,3.503440367,4.25,39.61904762,189.047619,24.66666667,1.619047619,6.666666667,213.9047619,1.621621622,3.211904762,0.80952381,4.506166056
Needles-G4,3523,45,301,needle,rs23,psme,60,108.5,0.102167832,1020,44.227,122.123,na,na,0.081351351,0.15527027,na,0.146351351,0.070675676,234.4594595,17.56756757,8.783783784,6.081081081,0.675675676,140.5405405,86.48648649,320.1680672,0,49.627,0.928,99.254,53.47737069,3.418901807,4.15,39.4,168,51.6,1,5.9,71.4,2.018348624,3.4115,0.791666667,4.633935897
Needles-G6,3480,80,217,needle,rs23,tabr,60,12.7,0.102167832,1020,44.227,122.123,50.389,1.007,0.079394813,0.079154659,0.128,0.285446686,0.093323727,396.2536023,4.322766571,24.01536984,6.724303554,0.480307397,59.5581172,45.14889529,107.1428571,22.60032518,12.117,0.316,24.234,38.34493671,1.174755382,5.21,32.27272727,74.90909091,35.36363636,1.090909091,2.090909091,175.3636364,0.664206642,1.346818182,0.313636364,1.852529138
Needles-H6,3554,79,202,needle,rs23,tabr,60,9.2,-0.051083916,1020,44.227,122.123,49.153,1.106,0.115537849,0.110358566,0,0.317928287,0.175298805,375,5.478087649,32.37051793,7.96812749,0.498007968,80.17928287,59.26294821,105.7142857,20.11621009,12.654,0.374,25.308,33.8342246,1.129979879,5.52,32.85714286,89.23809524,24.28571429,0.952380952,3.238095238,181.9047619,1.151515152,1.008095238,0.379365079,1.616275946
A10,3603,315,30,soil,rs26,tshe,63,NA,NA,1050,44.27,122.17,47.658,0.852,0.167766619,0.17422286,0.15,0.62266858,0.114729794,646.1023434,4.782400765,5.738880918,13.86896222,0.478240077,83.21377331,40.6504065,74.75728155,4.811619582,9.209,0.319,18.418,28.86833856,1.175866852,6.15,13.7,169.4,43.7,0.6,1.1,132.5,0.565552699,6.609,1.195,8.238358974
A5,3537,255,100,soil,rs26,tshe,63,NA,NA,1050,44.27,122.17,46.949,0.868,0.165386395,0.219111522,0.117,0.601758445,0.082970847,685.7936141,3.70198982,6.478482184,15.27070801,na,57.84359093,24.06293383,56.09756098,14.61086715,16.045,0.431,32.09,37.22737819,0.202276423,6.03,12.7,78.4,31.4,0.6,1,111.9,0.511508951,1.47,0.3125,1.983525641
B10,884,314,58,soil,rs26,tshe,63,NA,NA,1050,44.27,122.17,47.889,0.842,0.148157129,0.186372454,0.092,0.408874879,0.067167798,547.0417071,3.879728419,4.364694471,13.57904947,0,129.970902,54.31619787,85.41033435,21.14238888,12.228,0.337,24.456,36.28486647,2.765262701,5.77,23.1,166,68.8,0.7,2.2,146,0.859375,3.863,0.545833333,4.834474359
F6,3088,258,89,soil,rs26,tshe,63,NA,NA,1050,44.27,122.17,na,na,0.159624109,0.084186649,na,0.548541802,0.101879456,806.8697343,9.07323396,6.4808814,17.49837978,0.64808814,120.544394,53.14322748,83.61581921,23.42234051,3.841,0.183,7.682,20.98907104,0.244056026,5.93,20.57142857,130.6666667,50.66666667,0.952380952,1.333333333,94.57142857,0.694006309,4.018571429,1.192857143,5.546471306
Needles-G3,3603,30,315,needle,rs26,tshe,63,NA,NA,1050,44.27,122.17,47.658,0.852,0.167766619,0.17422286,0.15,0.62266858,0.114729794,646.1023434,4.782400765,5.738880918,13.86896222,0.478240077,83.21377331,40.6504065,74.75728155,4.811619582,9.209,0.319,18.418,28.86833856,1.175866852,6.15,13.7,169.4,43.7,0.6,1.1,132.5,0.565552699,6.609,1.195,8.238358974
Needles-G7,3088,89,258,needle,rs26,tshe,63,NA,NA,1050,44.27,122.17,na,na,0.159624109,0.084186649,na,0.548541802,0.101879456,806.8697343,9.07323396,6.4808814,17.49837978,0.64808814,120.544394,53.14322748,83.61581921,23.42234051,3.841,0.183,7.682,20.98907104,0.244056026,5.93,20.57142857,130.6666667,50.66666667,0.952380952,1.333333333,94.57142857,0.694006309,4.018571429,1.192857143,5.546471306
Needles-H5,884,58,314,needle,rs26,tshe,63,NA,NA,1050,44.27,122.17,47.889,0.842,0.148157129,0.186372454,0.092,0.408874879,0.067167798,547.0417071,3.879728419,4.364694471,13.57904947,0,129.970902,54.31619787,85.41033435,21.14238888,12.228,0.337,24.456,36.28486647,2.765262701,5.77,23.1,166,68.8,0.7,2.2,146,0.859375,3.863,0.545833333,4.834474359
Needles-H8,3537,100,255,needle,rs26,tshe,63,NA,NA,1050,44.27,122.17,46.949,0.868,0.165386395,0.219111522,0.117,0.601758445,0.082970847,685.7936141,3.70198982,6.478482184,15.27070801,na,57.84359093,24.06293383,56.09756098,14.61086715,16.045,0.431,32.09,37.22737819,0.202276423,6.03,12.7,78.4,31.4,0.6,1,111.9,0.511508951,1.47,0.3125,1.983525641
Needles-H9,3084,111,256,needle,rs26,tshe,63,NA,NA,1050,44.27,122.17,47.1,0.95,0.153174966,0.222293285,0.126,0.410552764,0.088350845,575.1484696,4.111466423,9.136592051,15.53220649,na,109.6391046,28.32343536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C10,5180,313,21,soil,rs31,tshe,61,6.2,-0.039358836,900,44.262,122.181,47.495,0.865,0.170473815,0.164987531,0.105,0.508329177,0.143241895,576.5586035,4.488778055,8.478802993,9.476309227,0.498753117,142.6433915,55.86034913,73.370319,0.500923057,5.214,0.281,10.428,18.55516014,2.451951654,6.09,34.8,132.4,62.9,0.5,1.3,121.4,0.476190476,5.6255,1.165,7.129987179
D10,5274,312,35,soil,rs31,tshe,61,27.9,0.039358836,900,44.262,122.181,47.256,0.936,0.193922925,0.32055336,0.113,0.312648221,0.09812253,511.8577075,3.458498024,6.422924901,8.399209486,0.494071146,173.4189723,61.75889328,68.03278689,4.0694828,6.046,0.267,12.092,22.64419476,0.946047608,5.85,43.18181818,171,45.54545455,0.454545455,1.363636364,110.4545455,0.506329114,5.137272727,0.964393939,6.540128205
D4,5129,244,88,soil,rs31,tshe,61,53.5,0.078717672,900,44.262,122.181,na,na,0.097515528,na,na,0.396770186,0.111801242,259.6273292,7.453416149,29.8136646,14.9068323,1.242236025,79.50310559,79.50310559,67.29323308,8.224569624,19.743,0.58,39.486,34.03965517,0.407158742,5.98,36.1,115.8,51,0.5,1.4,127.8,0.45540797,1.064,0.375,1.735923077
E2,5317,213,112,soil,rs31,tshe,61,13.2,0.039358836,900,44.262,122.181,na,na,0.14709389,0.170864382,na,0.397615499,0.128986587,612.5186289,5.961251863,10.43219076,14.15797317,na,114.7540984,23.84500745,53.84615385,14.60494812,5.472,0.271,10.944,20.19188192,0.398901099,6.31,23.80952381,156.0952381,62,0.476190476,1.428571429,94.28571429,0.348837209,4.600952381,0.873015873,5.874212454
E3,5213,222,na,soil,rs31,psme,61,199.6,-0.137755927,900,44.262,122.181,na,na,na,na,na,na,na,na,na,na,na,na,na,na,53.33333333,9.857493333,3.819,0.23,7.638,16.60434783,1.159452055,5.84,17.71428571,89.04761905,54.28571429,0.761904762,1.047619048,86.47619048,0.464037123,4.791428571,1.198412698,6.218168498
E9,5206,303,34,soil,rs31,tshe,61,20.2,0.177114763,900,44.262,122.181,,,,,,,,,,,,,,,72.31638418,0.602321708,8.114,0.282,16.228,28.77304965,0.87594162,5.45,24.81818182,111.9090909,62.81818182,0.454545455,1.636363636,104.8181818,0.580645161,4.175909091,0.728030303,5.190885781
H1,5286,200,82,soil,rs31,tshe,61,41.5,0.137755927,900,44.262,122.181,na,na,0.198159943,0.094904459,na,0.512384996,0.152158528,811.0403397,4.246284501,7.077140835,10.61571125,na,150.7430998,67.23283793,53.22580645,0,4.698,0.264,9.396,17.79545455,0.325011358,6.6,19.9,141.9,61.3,0.5,1.1,82.3,0.80952381,3.8125,0.630833333,4.807179487
H4,5262,238,113,soil,rs31,tabr,61,16.5,0.118076509,900,44.262,122.181,48.557,1.08,0.100432069,0.12049928,0.093,0.461065771,0.086509842,456.5530485,2.880460874,23.04368699,7.201152184,na,42.72683629,26.88430149,60,2.738868833,3.976,0.246,7.952,16.16260163,0.168328767,6.1,17.1,159.8,34.9,0.7,1,94.7,0.473372781,7.416,1.3425,9.16824359
Needles-D3,5274,35,312,needle,rs31,tshe,61,27.9,0.039358836,900,44.262,122.181,47.256,0.936,0.193922925,0.32055336,0.113,0.312648221,0.09812253,511.8577075,3.458498024,6.422924901,8.399209486,0.494071146,173.4189723,61.75889328,68.03278689,4.0694828,6.046,0.267,12.092,22.64419476,0.946047608,5.85,43.18181818,171,45.54545455,0.454545455,1.363636364,110.4545455,0.506329114,5.137272727,0.964393939,6.540128205
Needles-E3,5206,34,303,needle,rs31,tshe,61,20.2,0.177114763,900,44.262,122.181,,,,,,,,,,,,,,,72.31638418,0.602321708,8.114,0.282,16.228,28.77304965,0.87594162,5.45,24.81818182,111.9090909,62.81818182,0.454545455,1.636363636,104.8181818,0.580645161,4.175909091,0.728030303,5.190885781
Needles-E6,5286,82,200,needle,rs31,tshe,61,41.5,0.137755927,900,44.262,122.181,na,na,0.198159943,0.094904459,na,0.512384996,0.152158528,811.0403397,4.246284501,7.077140835,10.61571125,na,150.7430998,67.23283793,53.22580645,0,4.698,0.264,9.396,17.79545455,0.325011358,6.6,19.9,141.9,61.3,0.5,1.1,82.3,0.80952381,3.8125,0.630833333,4.807179487
Needles-F9,5262,113,238,needle,rs31,tabr,61,16.5,0.118076509,900,44.262,122.181,48.557,1.08,0.100432069,0.12049928,0.093,0.461065771,0.086509842,456.5530485,2.880460874,23.04368699,7.201152184,na,42.72683629,26.88430149,60,2.738868833,3.976,0.246,7.952,16.16260163,0.168328767,6.1,17.1,159.8,34.9,0.7,1,94.7,0.473372781,7.416,1.3425,9.16824359
Needles-G9,5317,112,213,needle,rs31,tshe,61,13.2,0.039358836,900,44.262,122.181,na,na,0.14709389,0.170864382,na,0.397615499,0.128986587,612.5186289,5.961251863,10.43219076,14.15797317,na,114.7540984,23.84500745,53.84615385,14.60494812,5.472,0.271,10.944,20.19188192,0.398901099,6.31,23.80952381,156.0952381,62,0.476190476,1.428571429,94.28571429,0.348837209,4.600952381,0.873015873,5.874212454
Needles-H2,5180,21,313,needle,rs31,tshe,61,6.2,-0.039358836,900,44.262,122.181,47.495,0.865,0.170473815,0.164987531,0.105,0.508329177,0.143241895,576.5586035,4.488778055,8.478802993,9.476309227,0.498753117,142.6433915,55.86034913,73.370319,0.500923057,5.214,0.281,10.428,18.55516014,2.451951654,6.09,34.8,132.4,62.9,0.5,1.3,121.4,0.476190476,5.6255,1.165,7.129987179
Needles-H7,5129,88,244,needle,rs31,tshe,61,53.5,0.078717672,900,44.262,122.181,na,na,0.097515528,na,na,0.396770186,0.111801242,259.6273292,7.453416149,29.8136646,14.9068323,1.242236025,79.50310559,79.50310559,67.29323308,8.224569624,19.743,0.58,39.486,34.03965517,0.407158742,5.98,36.1,115.8,51,0.5,1.4,127.8,0.45540797,1.064,0.375,1.735923077
A8,5488,299,13,soil,rs34,tshe,61,55.6,0.319068966,820,44.219,122.166,46.999,1.097,0.244119059,0.368554969,0.218,0.4650024,0.120451272,325.4920787,6.24099856,12.00192031,10.08161306,0.480076812,118.0988958,58.5693711,68.10344828,12.5679614,5.453,0.277,10.906,19.68592058,0.734852217,5.61,46.2,103.5,16.5,0.7,1.6,122.5,0.693641618,2.0125,0.4475,2.725384615
B2,5270,216,91,soil,rs34,psme,61,189.9,0.393623709,820,44.219,122.166,47.298,0.923,0.28707483,0.308697765,0.141,0.780806608,0.114528669,354.2274052,3.887269193,23.32361516,10.68999028,na,58.3090379,59.76676385,105.5555556,21.98865415,12.504,0.524,25.008,23.86259542,0.403873239,5.43,110.5217391,118.173913,29.2173913,0.956521739,4.434782609,186.6956522,1.028571429,3.791304348,0.515217391,4.609531773
B8,5208,298,28,soil,rs34,tshe,61,81.5,0.180410867,820,44.219,122.166,47.474,0.928,0.093973542,0.120725135,0.091,0.266095051,0.070210681,247.9176874,3.429691328,4.409603136,6.859382656,0.489955904,71.53356198,45.07594317,95,8.025472238,8.33,0.443,16.66,18.80361174,1.80443662,5.57,36.85714286,99.52380952,14.85714286,0.761904762,1.619047619,132.7619048,0.789473684,2.826666667,0.98968254,4.071538462
D8,5181,296,38,soil,rs34,tshe,61,54.9,0.607109164,820,44.219,122.166,46.997,0.945,0.112038369,0.132757794,0.093,0.269544365,0.073669065,393.2853717,3.357314149,5.275779376,7.673860911,0.479616307,102.1582734,49.40047962,147.6635514,7.652688008,20.899,0.642,41.798,32.5529595,2.394080997,4.87,109.7272727,83,18.90909091,0.727272727,3.818181818,195.5454545,1.229050279,1.408636364,0.323484848,1.944941725
H2,5268,210,70,soil,rs34,psme,61,164.4,0.22961383,820,44.219,122.166,na,na,0.13444227,0.163502935,0,0.397749511,0.08630137,300.3913894,5.870841487,16.63405088,0.978473581,0.978473581,160.4696673,134.0508806,188.5714286,0,26.834,0.761,53.668,35.26149803,15.87142857,4.7,109.7,149.6,43.3,1.8,6.6,192.5,1.095100865,4.7855,0.788333333,5.957423077
Needles-A2,5208,28,298,needle,rs34,tshe,61,81.5,0.180410867,820,44.219,122.166,47.474,0.928,0.093973542,0.120725135,0.091,0.266095051,0.070210681,247.9176874,3.429691328,4.409603136,6.859382656,0.489955904,71.53356198,45.07594317,95,8.025472238,8.33,0.443,16.66,18.80361174,1.80443662,5.57,36.85714286,99.52380952,14.85714286,0.761904762,1.619047619,132.7619048,0.789473684,2.826666667,0.98968254,4.071538462
Needles-B1,5488,13,299,needle,rs34,tshe,61,55.6,0.319068966,820,44.219,122.166,46.999,1.097,0.244119059,0.368554969,0.218,0.4650024,0.120451272,325.4920787,6.24099856,12.00192031,10.08161306,0.480076812,118.0988958,58.5693711,68.10344828,12.5679614,5.453,0.277,10.906,19.68592058,0.734852217,5.61,46.2,103.5,16.5,0.7,1.6,122.5,0.693641618,2.0125,0.4475,2.725384615
Needles-C3,5181,38,296,needle,rs34,tshe,61,54.9,0.607109164,820,44.219,122.166,46.997,0.945,0.112038369,0.132757794,0.093,0.269544365,0.073669065,393.2853717,3.357314149,5.275779376,7.673860911,0.479616307,102.1582734,49.40047962,147.6635514,7.652688008,20.899,0.642,41.798,32.5529595,2.394080997,4.87,109.7272727,83,18.90909091,0.727272727,3.818181818,195.5454545,1.229050279,1.408636364,0.323484848,1.944941725
Needles-C5,5268,70,210,needle,rs34,psme,61,164.4,0.22961383,820,44.219,122.166,na,na,0.13444227,0.163502935,0,0.397749511,0.08630137,300.3913894,5.870841487,16.63405088,0.978473581,0.978473581,160.4696673,134.0508806,188.5714286,0,26.834,0.761,53.668,35.26149803,15.87142857,4.7,109.7,149.6,43.3,1.8,6.6,192.5,1.095100865,4.7855,0.788333333,5.957423077
Needles-F7,5270,91,216,needle,rs34,psme,61,189.9,0.393623709,820,44.219,122.166,47.298,0.923,0.28707483,0.308697765,0.141,0.780806608,0.114528669,354.2274052,3.887269193,23.32361516,10.68999028,na,58.3090379,59.76676385,105.5555556,21.98865415,12.504,0.524,25.008,23.86259542,0.403873239,5.43,110.5217391,118.173913,29.2173913,0.956521739,4.434782609,186.6956522,1.028571429,3.791304348,0.515217391,4.609531773
